rank,content_hash_id,baseline_score,reason_code,march_impressions,staleness_days
165,content_c511f76baea68967,87.27406923970139,STALE_HIGH_OPPORTUNITY,2316,36.0
166,content_94d5ec8d9fc7dfc6,87.23922098799746,STALE_HIGH_OPPORTUNITY,2298,36.0
167,content_a04fc72918cc5e88,87.16836287619944,STALE_HIGH_OPPORTUNITY,2260,36.0
168,content_4232b38747674279,87.1359026664595,STALE_HIGH_OPPORTUNITY,1625,124.0
169,content_5304e875b18ec8fd,87.03235976546917,STALE_HIGH_OPPORTUNITY,1595,123.0
170,content_2bc527897c2869ae,86.92368590893265,STALE_HIGH_OPPORTUNITY,2136,36.0
171,content_a4e7a4ade2fb654d,86.80773627144498,STALE_HIGH_OPPORTUNITY,2075,36.0
172,content_8900b2c118d2166e,86.7908401494067,STALE_HIGH_OPPORTUNITY,2064,36.0
173,content_be85da0d3d2fe07f,86.78742014942007,STALE_HIGH_OPPORTUNITY,1506,124.0
174,content_5b1533eed3a1f178,86.77531683728404,STALE_HIGH_OPPORTUNITY,2056,36.0
175,content_aa0416410c2c7197,86.71934843303225,STALE_HIGH_OPPORTUNITY,2028,36.0
176,content_1b0bdd472c4ff086,86.71079477125038,STALE_HIGH_OPPORTUNITY,2024,36.0
177,content_c3c1e4ccf85a96ce,86.68650659582035,STALE_HIGH_OPPORTUNITY,2014,36.0
178,content_bad7e14def4de918,86.63243900529787,STALE_HIGH_OPPORTUNITY,1991,36.0
179,content_0c4771c1ecbf7d7c,86.5641153118056,STALE_HIGH_OPPORTUNITY,1958,36.0
180,content_beba734159003307,86.5471255728032,STALE_HIGH_OPPORTUNITY,1542,81.0
181,content_a96ce61bf37c8ac7,86.54158157376315,STALE_HIGH_OPPORTUNITY,1428,124.0
182,content_63701d5ee76253d3,86.5363015356262,STALE_HIGH_OPPORTUNITY,1426,124.0
183,content_7b5d754a5cd67a7d,86.52451502577838,STALE_HIGH_OPPORTUNITY,1939,36.0
184,content_f8bf037fdffaf552,86.51269972415022,STALE_HIGH_OPPORTUNITY,1530,81.0
185,content_60306fd49718f59f,86.42704552177007,STALE_HIGH_OPPORTUNITY,1899,36.0
186,content_fc2c060db685cecf,86.28247807758008,STALE_HIGH_OPPORTUNITY,1835,36.0
187,content_c126a43258b574c3,86.19527449946841,STALE_HIGH_OPPORTUNITY,592,231.0
188,content_738af53705d00b4b,86.18754299187752,STALE_HIGH_OPPORTUNITY,1794,36.0
189,content_446b636bf536f7ca,86.09588152981988,STALE_HIGH_OPPORTUNITY,1756,36.0
190,content_f5163bfeba9a06f6,86.04170833853466,STALE_HIGH_OPPORTUNITY,1735,36.0
191,content_35d7fd4168342929,85.90030891722684,STALE_HIGH_OPPORTUNITY,1683,36.0
192,content_b348bfd011489cea,85.84412931144956,STALE_HIGH_OPPORTUNITY,1661,36.0
193,content_fc9d09eeb64656fe,85.81641874711738,STALE_HIGH_OPPORTUNITY,1183,131.0
194,content_5271624ae98fff86,85.8076140994527,STALE_HIGH_OPPORTUNITY,550,231.0
195,content_e0392ac5886c63d5,85.61793247766215,STALE_HIGH_OPPORTUNITY,1580,36.0
196,content_3e1a77cf347aa69b,85.57590337409195,STALE_HIGH_OPPORTUNITY,1566,36.0
197,content_69dbfacbe13c1a26,85.50014685162894,STALE_HIGH_OPPORTUNITY,1145,124.0
198,content_902314233f1c0b94,85.45467369846732,STALE_HIGH_OPPORTUNITY,1523,36.0
199,content_6ab29e527f71c978,85.42433216798682,STALE_HIGH_OPPORTUNITY,486,234.0
200,content_d5a1d849acb3ad4b,85.40208451862318,STALE_HIGH_OPPORTUNITY,1507,36.0
201,content_a9e5a8f14112ddd3,85.38103585526373,STALE_HIGH_OPPORTUNITY,482,234.0
202,content_150c48373522405b,85.31063425809101,STALE_HIGH_OPPORTUNITY,1478,36.0
203,content_a22322eb1f3ec88a,85.27789802164186,STALE_HIGH_OPPORTUNITY,1467,36.0
204,content_12475fc17742ad33,85.2190783967961,STALE_HIGH_OPPORTUNITY,1448,36.0
205,content_e3b8c66d9d75768b,85.20123186789317,STALE_HIGH_OPPORTUNITY,1442,36.0
206,content_fb428c6e1ca78da4,85.19924810531205,STALE_HIGH_OPPORTUNITY,490,231.0
207,content_692dea1aace1a02f,85.05381320310921,STALE_HIGH_OPPORTUNITY,1398,36.0
208,content_97fccf53bda883e2,84.95275327316779,STALE_HIGH_OPPORTUNITY,1367,36.0
209,content_127f40ef6b42cec2,84.94916284723466,STALE_HIGH_OPPORTUNITY,1366,36.0
210,content_be0fc03aea317cf2,84.94916284723466,STALE_HIGH_OPPORTUNITY,1366,36.0
211,content_963d713ff5b7704a,84.8208579205065,STALE_HIGH_OPPORTUNITY,1330,36.0
212,content_956b26c77ab4b16a,84.8173730953361,STALE_HIGH_OPPORTUNITY,1329,36.0
213,content_58354e9e89956da2,84.80416856802057,STALE_HIGH_OPPORTUNITY,1393,35.0
214,content_c29cec4cfc50d574,84.7541182384553,STALE_HIGH_OPPORTUNITY,1310,36.0
215,content_5d80ad2a28695c76,84.65147429707278,STALE_HIGH_OPPORTUNITY,1282,36.0
216,content_2af2ab3073e107b8,84.5895922501076,STALE_HIGH_OPPORTUNITY,1265,36.0
217,content_3e662420c59ca74e,84.57723696086711,STALE_HIGH_OPPORTUNITY,1261,36.0
218,content_ff4df709a647d0cf,84.54946396026669,STALE_HIGH_OPPORTUNITY,1254,36.0
219,content_2b01a7be6db21375,84.51725572763124,STALE_HIGH_OPPORTUNITY,1246,36.0
220,content_e93ce00e02babeff,84.51070848034139,STALE_HIGH_OPPORTUNITY,1244,36.0
221,content_79b0b61aea83e4d3,84.38430436734254,STALE_HIGH_OPPORTUNITY,1213,36.0
222,content_2823d5f228915e7d,84.37312267029081,STALE_HIGH_OPPORTUNITY,977,81.0
223,content_1d296c7ede33237d,84.33806321706139,STALE_HIGH_OPPORTUNITY,970,81.0
224,content_96dd733e38524800,84.2799708137562,STALE_HIGH_OPPORTUNITY,1188,36.0
225,content_d4cb27003cb1e860,84.27492462905562,STALE_HIGH_OPPORTUNITY,410,231.0
226,content_4efab8362b8a64ee,84.1894301845097,STALE_HIGH_OPPORTUNITY,875,124.0
227,content_f51ef41331834d42,84.14365221285847,STALE_HIGH_OPPORTUNITY,931,81.0
228,content_ddc553d82c9f0a06,84.10001504467685,STALE_HIGH_OPPORTUNITY,881,113.0
229,content_0db61b3206cf664c,84.09485267667434,STALE_HIGH_OPPORTUNITY,1141,36.0
230,content_9621a0092d44a2bd,84.04374190750855,STALE_HIGH_OPPORTUNITY,1129,36.0
